stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1331","1331","Square de la Rance","Rennes","48.1180428685","-1.6807972833","","","","","","1"
"1333","1333","Jacques Cartier","Rennes","48.0978239201","-1.6751649180","","","","","","1"
"1334","1334","Châtillon","Rennes","48.0977159873","-1.6712995992","","","","","","1"
"1335","1335","Ormeaux","Rennes","48.0977048165","-1.6684000838","","","","","","1"
"1336","1336","Bigot de Préameneu","Rennes","48.0979824486","-1.6664054572","","","","","","1"
"1337","1337","Sainte-Thérèse","Rennes","48.0975322631","-1.6628896463","","","","","","1"
"1338","1338","Leray","Rennes","48.0950196444","-1.6616217286","","","","","","1"
"1339","1339","Langevin","Rennes","48.0946762736","-1.6586292491","","","","","","1"
"1340","1340","Gide","Rennes","48.0919962943","-1.6584978922","","","","","","1"
"1341","1341","Landrel","Rennes","48.0912218146","-1.6545784533","","","","","","1"
"1342","1342","Pologne","Rennes","48.0911751723","-1.6517555586","","","","","","1"
"1343","1343","La Poterie","Rennes","48.0876434494","-1.6459661053","","","","","","1"
"1344","1344","Galicie","Rennes","48.0877003791","-1.6500875115","","","","","","1"
"1345","1345","Sainte-Elisabeth","Rennes","48.0848785681","-1.6511713460","","","","","","2"
"1346","1346","Hôpital Sud","Rennes","48.0847242873","-1.6552109563","","","","","","1"
"1347","1347","Torigné","Rennes","48.0847689824","-1.6579252792","","","","","","1"
"1348","1348","Tage","Rennes","48.0836520335","-1.6639023098","","","","","","2"
"1349","1349","Douro","Rennes","48.0837216465","-1.6681773291","","","","","","2"
"1350","1350","Portugal","Rennes","48.0835464394","-1.6721746690","","","","","","2"
"1351","1351","Douro","Rennes","48.0834590109","-1.6673669596","","","","","","2"
"1352","1352","Tage","Rennes","48.0833855250","-1.6631598626","","","","","","2"
"1353","1353","Torigné","Rennes","48.0845348280","-1.6579616272","","","","","","1"
"1354","1354","Hôpital Sud","Rennes","48.0844569432","-1.6531854589","","","","","","2"
"1355","1355","Sainte-Elisabeth","Rennes","48.0850005854","-1.6508120312","","","","","","2"
"1356","1356","Galicie","Rennes","48.0874584677","-1.6498531224","","","","","","1"
"1358","1358","Pologne","Rennes","48.0914187469","-1.6519118902","","","","","","1"
"1359","1359","Landrel","Rennes","48.0914792476","-1.6555991798","","","","","","1"
"1360","1360","Gide","Rennes","48.0925177716","-1.6583076748","","","","","","1"
"1361","1361","Langevin","Rennes","48.0942217184","-1.6581632559","","","","","","1"
"1362","1362","Leray","Rennes","48.0950139431","-1.6614643156","","","","","","1"
"1363","1363","Sainte-Thérèse","Rennes","48.0974267262","-1.6625545768","","","","","","1"
"1364","1364","Bigot de Préameneu","Rennes","48.0980483728","-1.6670944827","","","","","","1"
"1365","1365","Ormeaux","Rennes","48.0977590802","-1.6692450065","","","","","","1"
"1366","1366","Châtillon","Rennes","48.0977968391","-1.6709199169","","","","","","1"
"1367","1367","Rennes Mairie","Rennes","48.1110219525","-1.6795169277","","","","","","1"
"1368","1368","Square de la Rance","Rennes","48.1183224127","-1.6805127871","","","","","","1"
"1369","1369","Auberge de Jeunesse","Rennes","48.1202690279","-1.6810202597","","","","","","1"
"1370","1370","Lenoir","Rennes","48.1219473945","-1.6834690818","","","","","","1"
"1371","1371","Lycée Mendès France","Rennes","48.1331709609","-1.6851104247","","","","","","2"
"1372","1372","Saint-Laurent","Rennes","48.1383639897","-1.6591808243","","","","","","1"
"1373","1373","Hôtel de Région","Rennes","48.1352479496","-1.6593598476","","","","","","1"
"1374","1374","Longs Prés","Rennes","48.1331620778","-1.6569601308","","","","","","1"
"1375","1375","Gast","Rennes","48.1301030451","-1.6567741118","","","","","","1"
"1376","1376","Europe","Rennes","48.1285791042","-1.6571924316","","","","","","1"
"1377","1377","Trégain","Rennes","48.1268262192","-1.6585703149","","","","","","1"
"1378","1378","Saint-Exupéry","Rennes","48.1249578067","-1.6614035708","","","","","","1"
"1381","1381","Malakoff","Rennes","48.1051277950","-1.6964684003","","","","","","1"
"1382","1382","Voltaire","Rennes","48.1050744914","-1.6988182691","","","","","","1"
"1383","1383","Dargent","Rennes","48.1035890606","-1.7000477803","","","","","","1"
"1384","1384","Champion de Cicé","Rennes","48.1026510792","-1.7038556018","","","","","","1"
"1385","1385","De Lesseps","Rennes","48.1006553422","-1.7070060351","","","","","","1"
"1386","1386","Guérinais","Rennes","48.0989218162","-1.7054882235","","","","","","1"
"1387","1387","Récipon","Rennes","48.0980437318","-1.7081807895","","","","","","1"
"1388","1388","Montand","Rennes","48.0993527563","-1.7112165308","","","","","","1"
"1389","1389","Clinique La Sagesse","Rennes","48.1012487041","-1.7118101132","","","","","","1"
"1390","1390","Cleunay","Rennes","48.1041747975","-1.7133943639","","","","","","1"
"1391","1391","Clinique La Sagesse","Rennes","48.1010563043","-1.7117992603","","","","","","1"
"1392","1392","Montand","Rennes","48.0998713723","-1.7111537114","","","","","","1"
"1393","1393","Récipon","Rennes","48.0978137166","-1.7076411331","","","","","","1"
"1394","1394","Guérinais","Rennes","48.0990430633","-1.7055132533","","","","","","1"
"1395","1395","De Lesseps","Rennes","48.1010128809","-1.7069561793","","","","","","1"
"1396","1396","Champion de Cicé","Rennes","48.1021824440","-1.7050630824","","","","","","1"
"1397","1397","Dargent","Rennes","48.1035979726","-1.7003688091","","","","","","1"
"1398","1398","Voltaire","Rennes","48.1052253827","-1.6986716957","","","","","","1"
"1399","1399","Malakoff","Rennes","48.1050149910","-1.6954602461","","","","","","1"
"1401","1401","Redon","Rennes","48.1055740575","-1.6877275376","","","","","","1"
"1402","1402","Cité Judiciaire","Rennes","48.1056471978","-1.6851883533","","","","","","1"
